order,damping,switch_scale,dwell_scale,exact_error,theory_bound,bound_utilization,pass
0.9,0.25,2.0,4.0,0.3784712492997738,0.5154849274994496,0.7342042979523934,1
0.9,0.25,2.0,16.0,0.045339179267625436,0.08119231314669229,0.5584171396337724,1
0.9,0.25,8.0,0.0625,7.254821705483017,7.345423647798561,0.9876655252767214,1
0.9,0.25,8.0,0.25,5.8752501920441045,5.9631621639366506,0.9852574909962687,1
0.9,0.25,8.0,1.0,2.929896358737155,3.008528171397088,0.973863694078883,1
0.9,0.25,8.0,4.0,0.4597592292685604,0.5154849274994496,0.8918965516582467,1
0.9,0.25,8.0,16.0,0.054475884089159626,0.08119231314669229,0.6709487878579912,1
0.9,1.0,0.5,0.0625,1.2866713236187308,1.836355911949632,0.7006655492249816,1
0.9,1.0,0.5,0.25,1.0261848765098007,1.4907905409841813,0.6883494684855862,1
0.9,1.0,0.5,1.0,0.4965822545912143,0.7521320428492977,0.660232813257117,1
0.9,1.0,0.5,4.0,0.07547896483878362,0.128871231874862,0.5856928946879011,1
0.9,1.0,0.5,16.0,0.010475691459881743,0.020298078286670535,0.5160927705536037,1
0.9,1.0,2.0,0.0625,1.6623982646481619,1.836355911949632,0.90527018963509,1
0.9,1.0,2.0,0.25,1.3361213917990287,1.4907905409841813,0.8962502478161392,1
0.9,1.0,2.0,1.0,0.6506454372438271,0.7521320428492977,0.8650680999828042,1
0.9,1.0,2.0,4.0,0.09461781232494429,0.128871231874862,0.7342042979524023,1
0.9,1.0,2.0,16.0,0.011334794816897163,0.020298078286670535,0.5584171396333891,1
0.9,1.0,8.0,0.0625,1.813705426370746,1.836355911949632,0.9876655252767214,1
0.9,1.0,8.0,0.25,1.468812548011049,1.4907905409841813,0.9852574909962717,1
0.9,1.0,8.0,1.0,0.7324740896843174,0.7521320428492977,0.9738636940788878,1
0.9,1.0,8.0,4.0,0.11493980731713645,0.128871231874862,0.8918965516582211,1
0.9,1.0,8.0,16.0,0.013618971022320259,0.020298078286670535,0.6709487878595704,1
0.9,4.0,0.5,0.0625,0.3216678309046819,0.4590889779874071,0.7006655492249811,1
0.9,4.0,0.5,0.25,0.25654621912744585,0.3726976352460376,0.6883494684855889,1
0.9,4.0,0.5,1.0,0.12414556364779994,0.1880330107123214,0.6602328132571084,1
0.9,4.0,0.5,4.0,0.01886974120969617,0.03221780796871592,0.5856928946879015,1
0.9,4.0,0.5,16.0,0.002618922864973823,0.005074519571670908,0.5160927705539383,1
0.9,4.0,2.0,0.0625,0.4155995661620395,0.4590889779874071,0.9052701896350897,1
0.9,4.0,2.0,0.25,0.3340303479497494,0.3726976352460376,0.8962502478161368,1
0.9,4.0,2.0,1.0,0.1626613593109536,0.1880330107123214,0.8650680999828013,1
0.9,4.0,2.0,4.0,0.023654453081236447,0.03221780796871592,0.7342042979524043,1
0.9,4.0,2.0,16.0,0.0028336987041032513,0.005074519571670908,0.5584171396091764,1
0.9,4.0,8.0,0.0625,0.4534263565926856,0.4590889779874071,0.9876655252767214,1
0.9,4.0,8.0,0.25,0.3672031370027545,0.3726976352460376,0.9852574909962712,1
0.9,4.0,8.0,1.0,0.18311852242107635,0.1880330107123214,0.9738636940788875,1
0.9,4.0,8.0,4.0,0.028734951829285055,0.03221780796871592,0.8918965516582388,1
0.9,4.0,8.0,16.0,0.0034047427555707298,0.005074519571670908,0.6709487878572978,1
