order,damping,morphology_abs,frequencies,relative_error,draws,certifiable,primary_pass_0p02,exploratory_pass_0p05,chain_coverage,disk_true_feasible,max_u_w,max_u_r,max_u_alpha,p95_u_alpha,median_chain_width,median_disk_width_subset
0.7,0.3,1.0198039,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9985192159286284,0.832069919933235,0.5633461824392596,0.4789376307609427,0.49827283128420286,0.4887643387336461
0.7,0.3,1.0198039,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9975567362930028,0.7954561376818483,0.5140461873580181,0.44727686588366716,0.6,0.5980474041272054
0.7,0.3,1.25299641,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9992447270053099,0.803529594390231,0.579323463080987,0.4524422567629092,0.009196749287957495,0.00891889796245221
0.7,0.3,1.25299641,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.998468651076458,0.8942207689444368,0.7038774309178594,0.5425002569129397,0.09212250516166037,0.08685385277384866
0.7,0.3,1.25299641,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9992523539424387,0.8770982203312683,0.6777777375863842,0.4631609205402404,0.4634059989060008,0.4284803095206599
0.7,0.3,1.25299641,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9982261867621358,0.7103111106871608,0.5865192479454574,0.47523561937965325,0.6,0.6
0.7,0.3,1.25299641,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9994141558343167,0.8960256077804369,0.5760565646373371,0.42943318582916445,0.0022134853546957878,0.0021880039953390273
0.7,0.3,1.25299641,0.7-1.4-2.6,0.001,128,128,128,128,1.0,1.0,0.9985884867653076,0.7896188513937727,0.6451032145825765,0.4604432469258328,0.021922249204635702,0.022507142716025053
0.7,0.3,1.25299641,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9949374918086804,0.8204730513276147,0.6771406211088675,0.48748391411582076,0.11220377724860076,0.11092955648461406
0.7,0.3,1.25299641,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9959730934769081,0.8674852934921037,0.7107803462376941,0.4746251526825525,0.23074202378832065,0.21229899700377858
0.7,0.3,1.25299641,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9989620278040239,0.8579973403312641,0.7396179494428451,0.5416783216921336,0.0037267790359691855,0.003683678202262397
0.7,0.3,1.25299641,0.7-1.9-2.6,0.001,128,128,0,128,1.0,1.0,0.9995862028494654,0.8666256685352293,0.6675996884028125,0.5245715031022997,0.03737637441790859,0.037504162633398674
0.7,0.3,1.25299641,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9937984874193824,0.8353100962524816,0.6855078546532732,0.527574092229127,0.1864176057732037,0.18565683298835983
0.7,0.3,1.25299641,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.9896369358578729,0.8546897702998054,0.7067299615163424,0.5582220282361444,0.3793517587544557,0.33439279256191334
0.7,0.3,1.25299641,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9997520285654862,0.7941206108078724,0.5679992834726058,0.49440789916709943,0.010473738784639919,0.00939822283743369
0.7,0.3,1.25299641,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.997592891034769,0.8251406297193209,0.6316660440865773,0.5046973620127918,0.10480685074262508,0.10596184767938249
0.7,0.3,1.25299641,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9968011017516611,0.8632986740022693,0.7487955918541117,0.48878570230484547,0.5041804531173513,0.4820534231246421
0.7,0.3,1.25299641,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9971080759039193,0.732667226086985,0.5248558356240077,0.42109437342487166,0.6,0.6
0.7,0.8,1.0198039,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9986272268173019,0.8551462431082594,0.7061633496764051,0.5537871191322946,0.012601069271340748,0.012181628436148728
0.7,0.8,1.0198039,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9983908379618407,0.8191547617728205,0.6112664240270129,0.4858456896976367,0.12786484985440405,0.12560115463635296
0.7,0.8,1.0198039,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9993875014903024,0.7727588503476192,0.6688981673740193,0.47282701333193444,0.5453344067002945,0.5019322973848299
0.7,0.8,1.0198039,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9959038964468383,0.7927713540215569,0.43288972561868233,0.4066788109499233,0.6,0.6
0.7,0.8,1.0198039,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9993954890692696,0.8846534675004794,0.5897994099181589,0.42674122047148105,0.0028920603380354626,0.002897758135897266
0.7,0.8,1.0198039,0.7-1.4-2.6,0.001,128,128,128,128,1.0,1.0,0.9977449598248203,0.8529586853259855,0.6017398342292903,0.4935533915414877,0.028849712109058734,0.02666133235077478
0.7,0.8,1.0198039,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9953212782292004,0.8417794565695117,0.702388469470787,0.4734540748503968,0.14838091530532432,0.14763240118749477
0.7,0.8,1.0198039,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.993197105006355,0.8080864997105088,0.6215480906002219,0.4494292029347423,0.303909647522164,0.28211660656185467
