relative_error,phase1,phase2,phase3,u_r,u_alpha,chain_contains
0.01,4.71238898038469,1.5707963267948966,1.5707963267948966,0.272389220063916,0.05204543066750413,1
0.01,4.71238898038469,1.5707963267948966,3.141592653589793,0.8375635152472516,0.13317150625672017,1
0.01,4.71238898038469,1.5707963267948966,4.71238898038469,0.9353767459232449,0.5282380138995447,1
0.01,4.71238898038469,3.141592653589793,0.0,0.7604295273183264,0.3374237153393086,1
0.01,4.71238898038469,3.141592653589793,1.5707963267948966,0.3468839607940122,0.05885824947580023,1
0.01,4.71238898038469,3.141592653589793,3.141592653589793,0.2753314022779156,0.11883389119960854,1
0.01,4.71238898038469,3.141592653589793,4.71238898038469,0.7326545698943758,0.5185043747677469,1
0.01,4.71238898038469,4.71238898038469,0.0,0.5932252663483987,0.08542953901379478,1
0.01,4.71238898038469,4.71238898038469,1.5707963267948966,0.7468949989769929,0.23917796687754997,1
0.01,4.71238898038469,4.71238898038469,3.141592653589793,0.479756378836003,0.24254159619993446,1
0.01,4.71238898038469,4.71238898038469,4.71238898038469,0.12289739930285071,0.08312730783978499,1
