order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.97,0.2,2,0-1-3,1.4,2.0,3.8,1.0,0.0,3.352873534367973e-14,1.3378187446733136e-14,9.361464797313026e-14,3.770533881293532e-16,1
0.97,0.2,2,0-1-3,1.4,2.0,3.8,3.2,0.63,3.352873534367973e-14,1.3100631690576847e-14,2.975391077790875e-13,3.81081362138516e-16,1
0.97,0.2,2,0-1-4,1.4,2.0,5.2,1.0,0.0,2.3314683517128287e-14,8.743006318923108e-15,6.538374767951871e-14,1.5082135525174128e-15,1
0.97,0.2,2,0-1-4,1.4,2.0,5.2,3.2,0.63,2.3314683517128287e-14,9.076073226310655e-15,2.1177841042151042e-13,7.62162724277032e-16,1
0.97,0.2,2,0-2-3,1.4,2.8,3.8,1.0,0.0,1.4721557306529576e-13,6.511458039426543e-14,4.383712906413598e-13,1.6255191164432127e-16,1
0.97,0.2,2,0-2-3,1.4,2.8,3.8,3.2,0.63,1.4721557306529576e-13,6.533662499919046e-14,1.403985771894544e-12,8.214420803240004e-17,1
0.97,0.2,2,0-2-4,1.4,2.8,5.2,1.0,0.0,8.01581023779363e-14,3.5638159090467525e-14,2.3937736934070594e-13,1.6255191164432127e-16,1
0.97,0.2,2,0-2-4,1.4,2.8,5.2,3.2,0.63,8.01581023779363e-14,3.533284775869561e-14,7.651609725504827e-13,1.6428841606480008e-16,1
0.97,0.2,2,0-3-4,1.4,3.8,5.2,1.0,0.0,1.4721557306529576e-13,7.277511926417901e-14,4.664816830718365e-13,1.9075146393208532e-16,1
0.97,0.2,2,0-3-4,1.4,3.8,5.2,3.2,0.63,1.4721557306529576e-13,7.291389714225716e-14,1.492399105018169e-12,0.0,1
0.97,0.2,2,1-2-3,2.0,2.8,3.8,1.0,0.0,1.4721557306529576e-13,7.16093850883226e-14,4.593147093920603e-13,4.286036863480856e-16,1
0.97,0.2,2,1-2-3,2.0,2.8,3.8,3.2,0.63,1.4721557306529576e-13,7.258083023486961e-14,1.4722113412265181e-12,7.21970600421023e-17,1
0.97,0.2,2,1-2-4,2.0,2.8,5.2,1.0,0.0,3.352873534367973e-14,1.5959455978986625e-14,1.0455118239794374e-13,5.714715817974475e-16,1
0.97,0.2,2,1-2-4,2.0,2.8,5.2,3.2,0.63,3.352873534367973e-14,1.6819878823071122e-14,3.3713508464764523e-13,1.443941200842046e-16,1
0.97,0.2,2,1-3-4,2.0,3.8,5.2,1.0,0.0,1.4721557306529576e-13,7.97695243193175e-14,4.859308572085956e-13,1.2766984564179846e-16,1
0.97,0.2,2,1-3-4,2.0,3.8,5.2,3.2,0.63,1.4721557306529576e-13,8.007483565108942e-14,1.5556814562775156e-12,6.451685651542242e-17,1
0.97,0.2,2,2-3-4,2.8,3.8,5.2,1.0,0.0,1.4721557306529576e-13,8.870681966755001e-14,5.078882048099518e-13,4.615775303033401e-16,1
0.97,0.2,2,2-3-4,2.8,3.8,5.2,3.2,0.63,1.4721557306529576e-13,8.784639682346551e-14,1.6250245021438202e-12,0.0,1
0.97,0.8,1,0-1-2,0.7,1.0,1.4,1.0,0.0,1.4721557306529576e-13,1.071365218763276e-13,2.690941575646104e-13,3.7560511222991665e-16,1
0.97,0.8,1,0-1-2,0.7,1.0,1.4,3.2,0.63,1.4721557306529576e-13,1.0591527654923993e-13,8.622892892575714e-13,2.8513203265492955e-15,1
0.97,0.8,1,0-1-3,0.7,1.0,1.9,1.0,0.0,3.352873534367973e-14,2.398081733190338e-14,6.129035076770127e-14,7.512102244598333e-16,1
0.97,0.8,1,0-1-3,0.7,1.0,1.9,3.2,0.63,3.352873534367973e-14,2.2426505097428162e-14,1.9741001695468624e-13,4.514590517036385e-15,1
0.97,0.8,1,0-1-4,0.7,1.0,2.6,1.0,0.0,2.3314683517128287e-14,1.765254609153999e-14,4.262244372410064e-14,1.6902230050346248e-15,1
0.97,0.8,1,0-1-4,0.7,1.0,2.6,3.2,0.63,2.3314683517128287e-14,1.9095836023552692e-14,1.3505642919071472e-13,7.128300816373239e-15,1
0.97,0.8,1,0-2-3,0.7,1.4,1.9,1.0,0.0,1.4721557306529576e-13,1.3156142841808105e-13,2.844051682592698e-13,0.0,1
0.97,0.8,1,0-2-3,0.7,1.4,1.9,3.2,0.63,1.4721557306529576e-13,1.3145040611561853e-13,9.095311302363797e-13,2.048726539276771e-16,1
0.97,0.8,1,0-2-4,0.7,1.4,2.6,1.0,0.0,8.01581023779363e-14,7.194245199571014e-14,1.549534501008725e-13,3.2385508757400146e-16,1
0.97,0.8,1,0-2-4,0.7,1.4,2.6,3.2,0.63,8.01581023779363e-14,7.216449660063518e-14,4.963638160851638e-13,4.097453078553542e-16,1
0.97,0.8,1,0-3-4,0.7,1.9,2.6,1.0,0.0,1.4721557306529576e-13,1.5520917884259688e-13,3.0160002856573966e-13,1.4251408541975291e-16,1
0.97,0.8,1,0-3-4,0.7,1.9,2.6,3.2,0.63,1.4721557306529576e-13,1.5543122344752192e-13,9.652984620004712e-13,0.0,1
0.97,0.8,1,1-2-3,1.0,1.4,1.9,1.0,0.0,1.4721557306529576e-13,1.5065726444163374e-13,2.9743620900376486e-13,1.4231913462053335e-16,1
0.97,0.8,1,1-2-3,1.0,1.4,1.9,3.2,0.63,1.4721557306529576e-13,1.5232259897857148e-13,9.504198026650134e-13,1.4405108918469104e-15,1
0.97,0.8,1,1-2-4,1.0,1.4,2.6,1.0,0.0,3.352873534367973e-14,3.452793606584237e-14,6.78229966302619e-14,0.0,1
0.97,0.8,1,1-2-4,1.0,1.4,2.6,3.2,0.63,3.352873534367973e-14,3.574918139293004e-14,2.1501119236889334e-13,3.2411495066555484e-15,1
0.97,0.8,1,1-3-4,1.0,1.9,2.6,1.0,0.0,1.4721557306529576e-13,1.7263968032921184e-13,3.143651938722026e-13,1.2717946107995936e-16,1
0.97,0.8,1,1-3-4,1.0,1.9,2.6,3.2,0.63,1.4721557306529576e-13,1.7352785874891197e-13,1.0058692166894196e-12,3.2181793297397864e-16,1
0.97,0.8,1,2-3-4,1.4,1.9,2.6,1.0,0.0,1.4721557306529576e-13,1.9129142714291447e-13,3.2903624287411573e-13,3.4485344555420767e-16,1
0.97,0.8,1,2-3-4,1.4,1.9,2.6,3.2,0.63,1.4721557306529576e-13,1.91402449445377e-13,1.0536301718350104e-12,1.4543756002320094e-16,1
0.97,0.8,2,0-1-2,1.4,2.0,2.8,1.0,0.0,1.4721557306529576e-13,1.9462209621678994e-13,3.353432643121867e-13,2.7685821479691565e-16,1
0.97,0.8,2,0-1-2,1.4,2.0,2.8,3.2,0.63,1.4721557306529576e-13,1.9517720772910252e-13,1.0738159970304633e-12,2.730230531985245e-16,1
0.97,0.8,2,0-1-3,1.4,2.0,3.8,1.0,0.0,3.352873534367973e-14,4.4297898682543746e-14,7.635108352764145e-14,5.537164295938313e-16,1
0.97,0.8,2,0-1-3,1.4,2.0,3.8,3.2,0.63,3.352873534367973e-14,4.463096558993129e-14,2.4442754425631435e-13,2.730230531985245e-16,1
0.97,0.8,2,0-1-4,1.4,2.0,5.2,1.0,0.0,2.3314683517128287e-14,3.086420008457935e-14,5.319744000662463e-14,3.6914428639588753e-16,1
0.97,0.8,2,0-1-4,1.4,2.0,5.2,3.2,0.63,2.3314683517128287e-14,3.0753177782116836e-14,1.698314660101103e-13,0.0,1
0.97,0.8,2,0-2-3,1.4,2.8,3.8,1.0,0.0,1.4721557306529576e-13,2.2004620348070603e-13,3.5705021028473454e-13,3.9785552467734907e-16,1
0.97,0.8,2,0-2-3,1.4,2.8,3.8,3.2,0.63,1.4721557306529576e-13,2.2004620348070603e-13,1.143454368620053e-12,0.0,1
0.97,0.8,2,0-2-4,1.4,2.8,5.2,1.0,0.0,8.01581023779363e-14,1.1945999744966684e-13,1.9446626694540166e-13,1.5914220987093962e-16,1
0.97,0.8,2,0-2-4,1.4,2.8,5.2,3.2,0.63,8.01581023779363e-14,1.197930643570544e-13,6.222044837654814e-13,2.3540655311742806e-16,1
0.97,0.8,2,0-3-4,1.4,3.8,5.2,1.0,0.0,1.4721557306529576e-13,2.44582132324922e-13,3.798561193840264e-13,2.801253691746053e-16,1
