order,damping,morphology_abs,frequencies,relative_error,draw,u_w,u_r,u_alpha,alpha_error,alpha_bound,chain_contains,disk_residual
0.7,0.3,1.252996408614167,0.7-1.9-2.6,0.01,72,0.9501109363328011,0.793655852666169,0.7067299615163424,0.15594334019333478,0.22065477436211506,1,-0.006921309349082822
0.7,0.3,1.252996408614167,1.0-1.4-1.9,0.0001,120,0.9437564214505657,0.6404516154859101,0.5679992834726058,0.0033344999626934158,0.005870605931590469,1,-0.00014726607155111964
0.7,0.3,1.252996408614167,1.0-1.4-1.9,0.001,87,0.8590915851654409,0.6922653107676078,0.6316660440865773,0.03693985304416869,0.058480036072836056,1,-0.0012545167737227428
0.7,0.3,1.252996408614167,1.0-1.4-1.9,0.005,45,0.9681901775443253,0.8083218604052473,0.7487955918541117,0.21639073443620882,0.2889850538521444,1,-0.003742042003261375
0.7,0.3,1.252996408614167,1.0-1.4-1.9,0.01,97,0.9312586887848701,0.7117680459689224,0.5248558356240077,0.29999999999999993,0.5715855281352186,1,-0.011014525527617676
0.7,0.8,1.019803902718557,0.7-1.0-1.4,0.0001,47,0.9840235069235097,0.8551462431082594,0.7061633496764051,0.005072147274040595,0.007182682698507185,1,-8.330549159594417e-05
0.7,0.8,1.019803902718557,0.7-1.0-1.4,0.001,106,0.9096717884032418,0.691277775849676,0.6112664240270129,0.04374083788752614,0.07155773026001042,1,-0.0017797831796111246
0.7,0.8,1.019803902718557,0.7-1.0-1.4,0.005,46,0.9791101557599494,0.7433324202476668,0.6688981673740193,0.23683090165868614,0.3540612206914007,1,-0.007050150590609806
0.7,0.8,1.019803902718557,0.7-1.0-1.4,0.01,126,0.842422169146232,0.6305020744187241,0.43288972561868233,0.29999999999999993,0.6930171409618061,1,-0.019747646047613476
0.7,0.8,1.019803902718557,0.7-1.4-2.6,0.0001,26,0.9756987544476152,0.8604025120873157,0.5897994099181589,0.0010612732674871728,0.0017993800089329286,1,-9.02181821441512e-05
0.7,0.8,1.019803902718557,0.7-1.4-2.6,0.001,113,0.9753726072814966,0.7350105947602215,0.6017398342292903,0.01094089035723278,0.018182094212270152,1,-0.0016821230728628405
0.7,0.8,1.019803902718557,0.7-1.4-2.6,0.005,99,0.9867925583161317,0.8417794565695117,0.702388469470787,0.06236583316122046,0.08879108338468292,1,-0.004942644285207895
0.7,0.8,1.019803902718557,0.7-1.4-2.6,0.01,10,0.9395248956066795,0.7299490722516302,0.6215480906002219,0.11119741403417738,0.17890395886631283,1,-0.016641095276724784
0.7,0.8,1.019803902718557,0.7-1.9-2.6,0.0001,80,0.8798171551448031,0.7949641510358518,0.684392805725229,0.0018407359297269998,0.0026895898295956388,1,-0.00010829289186716173
0.7,0.8,1.019803902718557,0.7-1.9-2.6,0.001,120,0.9121650446265174,0.866312306131581,0.676980879834005,0.018192340840505583,0.026872754286600124,1,-0.0006996432836916108
0.7,0.8,1.019803902718557,0.7-1.9-2.6,0.005,19,0.9857954017211711,0.8085770894084819,0.6804967087646209,0.09587910637856101,0.140895767964287,1,-0.00430532563474411
0.7,0.8,1.019803902718557,0.7-1.9-2.6,0.01,17,0.9148867140542066,0.8364453523820213,0.7253580044316388,0.19362167646286244,0.26693257023416533,1,-0.007989677369699327
0.7,0.8,1.019803902718557,1.0-1.4-1.9,0.0001,109,0.8978948788180091,0.7249794797975871,0.6106527953082868,0.004635015081657867,0.007590262612845143,1,-0.00017835231330808835
0.7,0.8,1.019803902718557,1.0-1.4-1.9,0.001,9,0.9682308225937607,0.685109858022173,0.6186608788255172,0.04803158203758362,0.07763798177891593,1,-0.001970442786155744
0.7,0.8,1.019803902718557,1.0-1.4-1.9,0.005,101,0.9762019832699287,0.8330432283599212,0.7928820379704212,0.29139723999469425,0.36751651070390995,1,-0.0051059296471680435
0.7,0.8,1.019803902718557,1.0-1.4-1.9,0.01,41,0.9702989325584471,0.5941577880831739,0.4084462928352573,0.29999999999999993,0.7344906913404204,1,-0.024639631725022856
