record,role,model,split,harmonic,count_complex,sse_mV2,rmse_mV,mae_mV,nrmse_energy,r2_centered
f2y01,locked_engineering_validation,fractional_common,validation,all,1068,0.3873529059676435,0.01904442141050994,0.016428618552766467,0.8111662418616131,-0.20449937958036135
f2y01,locked_engineering_validation,fractional_common,validation,1,356,0.17104331265769665,0.021919369138287174,0.018297791883771654,0.7142248464190205,-0.26077352337876536
f2y01,locked_engineering_validation,fractional_common,validation,2,356,0.11158786657478943,0.017704492746541196,0.015638626861300797,0.9350059795937308,-0.27226834520192345
f2y01,locked_engineering_validation,fractional_common,validation,3,356,0.10472172673515741,0.01715115604705532,0.015349436913226948,0.9125730469099178,-0.06624856181139815
f2y01,locked_engineering_validation,alpha_one_nested,identification,all,375,0.133351259993033,0.018857448395300496,0.016673803619284534,0.6294558163669932,0.02452788097851266
f2y01,locked_engineering_validation,alpha_one_nested,identification,1,125,0.04671064227679184,0.01933093733408535,0.016252943962205557,0.489862153403487,0.05028939377814989
f2y01,locked_engineering_validation,alpha_one_nested,identification,2,125,0.04324139868244996,0.0185992255069828,0.01685461605306303,0.7297815462169465,0.010315485881155162
f2y01,locked_engineering_validation,alpha_one_nested,identification,3,125,0.04339921903379117,0.018633135867865327,0.016913850842585024,0.8454602362072766,0.009786511529929931
f2y01,locked_engineering_validation,alpha_one_nested,validation,all,1068,0.3873529056178013,0.019044421401909845,0.01642861854577719,0.8111662414953061,-0.204499378492504
f2y01,locked_engineering_validation,alpha_one_nested,validation,1,356,0.1710433124638785,0.02191936912586818,0.018297791873347947,0.7142248460143578,-0.2607735219501166
f2y01,locked_engineering_validation,alpha_one_nested,validation,2,356,0.11158786642992254,0.01770449273504893,0.015638626851416045,0.9350059789868035,-0.27226834355022445
f2y01,locked_engineering_validation,alpha_one_nested,validation,3,356,0.10472172672400026,0.017151156046141668,0.015349436912567578,0.9125730468613046,-0.06624856169779925
f2y01,locked_engineering_validation,constant_fourier,identification,all,375,0.13670432746637587,0.019093058247532504,0.01690161530234146,0.6373204006295048,0.0
f2y01,locked_engineering_validation,constant_fourier,identification,1,125,0.049184079835242304,0.01983614475350335,0.016758327963992768,0.5026645328284695,0.0
f2y01,locked_engineering_validation,constant_fourier,identification,2,125,0.04369210396400867,0.01869590414267439,0.016958343054269413,0.7335749452600766,-2.220446049250313e-16
f2y01,locked_engineering_validation,constant_fourier,identification,3,125,0.043828143667124904,0.018724987298713962,0.0169881748887622,0.8496279046540672,1.1102230246251565e-16
f2y01,locked_engineering_validation,constant_fourier,validation,all,1068,0.3976460798189414,0.019295797213192353,0.016606519629667527,0.8218731864708261,-0.23650668177635104
f2y01,locked_engineering_validation,constant_fourier,validation,1,356,0.1784569139999137,0.022389360560138658,0.018577382183911497,0.7295391353008019,-0.3154197538564112
f2y01,locked_engineering_validation,constant_fourier,validation,2,356,0.11313160573856278,0.017826536662458734,0.01576087911990856,0.9414513374353567,-0.28986927737855006
f2y01,locked_engineering_validation,constant_fourier,validation,3,356,0.10605756008046485,0.017260199726771626,0.015481297585182527,0.9183750070093986,-0.07984965900162999
f2y01,locked_engineering_validation,rate_shuffle_negative_control,identification,all,375,0.13663504719964292,0.019088219557248248,0.01689641909465757,0.637158886638896,0.0005067891267011015
f2y01,locked_engineering_validation,rate_shuffle_negative_control,identification,1,125,0.049185896115029694,0.019836511006732952,0.016762055523684413,0.5026738139922663,-3.692820509137995e-05
f2y01,locked_engineering_validation,rate_shuffle_negative_control,identification,2,125,0.043667068417859375,0.01869054700491334,0.01695157355604993,0.7333647461699538,0.000572999326603707
f2y01,locked_engineering_validation,rate_shuffle_negative_control,identification,3,125,0.043782082666753847,0.018715145239458626,0.016975628204238376,0.849181330883458,0.0010509457284090251
f2y01,locked_engineering_validation,rate_shuffle_negative_control,validation,all,1068,0.3970614829112866,0.019281608198253135,0.016596827745315863,0.8212688283926326,-0.23468883917926053
f2y01,locked_engineering_validation,rate_shuffle_negative_control,validation,1,356,0.17785751106746717,0.022351728125348934,0.018556439076141795,0.7283129129680106,-0.31100150835284945
f2y01,locked_engineering_validation,rate_shuffle_negative_control,validation,2,356,0.11319585956396819,0.017831598292121657,0.01576383728214011,0.9417186511657797,-0.29060186695688595
f2y01,locked_engineering_validation,rate_shuffle_negative_control,validation,3,356,0.10600811227985127,0.01725617559865792,0.01547020687766568,0.9181608925296628,-0.07934619474514104
f2o01,locked_engineering_validation,fractional_common,identification,all,363,0.04406444539825018,0.011017697433878407,0.009605033229528678,0.6756911740111409,0.01120649034460075
f2o01,locked_engineering_validation,fractional_common,identification,1,121,0.013243170416546506,0.010461724972151884,0.009165804363867974,0.49979026662511716,0.02701180823684579
f2o01,locked_engineering_validation,fractional_common,identification,2,121,0.007120818796793334,0.007671358557795285,0.00686150406781266,0.7677549322765126,-0.0009198966623744642
f2o01,locked_engineering_validation,fractional_common,identification,3,121,0.023700456184910335,0.013995411345089762,0.0127877912569054,0.868556642068202,0.0058013019545948286
f2o01,locked_engineering_validation,fractional_common,validation,all,921,0.0869122658682733,0.009714282324137164,0.008230808335310827,0.682935226370416,-0.09661907919343116
f2o01,locked_engineering_validation,fractional_common,validation,1,307,0.027454134900858698,0.009456592912576797,0.007698351021836913,0.5256997028098275,-0.24367071930583517
f2o01,locked_engineering_validation,fractional_common,validation,2,307,0.011737752617535247,0.006183342290478695,0.005468630280864573,0.7419688586335725,-0.05680979227278571
f2o01,locked_engineering_validation,fractional_common,validation,3,307,0.04772037834987936,0.012467596874446625,0.011525443703230989,0.8523602377775268,-0.035758458094790946
f2o01,locked_engineering_validation,alpha_one_nested,identification,all,363,0.044064445398250524,0.01101769743387845,0.009605033229528895,0.6756911740111434,0.011206490344592979
f2o01,locked_engineering_validation,alpha_one_nested,identification,1,121,0.013243170416546917,0.010461724972152047,0.009165804363868534,0.49979026662512493,0.027011808236815593
f2o01,locked_engineering_validation,alpha_one_nested,identification,2,121,0.007120818796793021,0.007671358557795117,0.006861504067812633,0.7677549322764957,-0.0009198966623304994
f2o01,locked_engineering_validation,alpha_one_nested,identification,3,121,0.02370045618491058,0.013995411345089834,0.012787791256905521,0.8685566420682066,0.0058013019545845035
f2o01,locked_engineering_validation,alpha_one_nested,validation,all,921,0.08691226586824835,0.00971428232413577,0.008230808335309167,0.682935226370318,-0.0966190791931163
f2o01,locked_engineering_validation,alpha_one_nested,validation,1,307,0.02745413490084094,0.009456592912573739,0.007698351021833016,0.5256997028096575,-0.24367071930503093
f2o01,locked_engineering_validation,alpha_one_nested,validation,2,307,0.011737752617534314,0.006183342290478448,0.005468630280864162,0.7419688586335431,-0.056809792272701776
f2o01,locked_engineering_validation,alpha_one_nested,validation,3,307,0.0477203783498731,0.012467596874445808,0.011525443703230323,0.8523602377774707,-0.03575845809465483
f2o01,locked_engineering_validation,constant_fourier,identification,all,363,0.044563849750193965,0.01107995606079168,0.0096853062229223,0.679509358796466,0.0
f2o01,locked_engineering_validation,constant_fourier,identification,1,121,0.013610823367289306,0.010605948497485577,0.009315891416534135,0.5066802885260958,-2.220446049250313e-16
f2o01,locked_engineering_validation,constant_fourier,identification,2,121,0.007114274399518002,0.007667832561706316,0.006891657130172679,0.7674020481207143,-2.220446049250313e-16
f2o01,locked_engineering_validation,constant_fourier,identification,3,121,0.023838751983386655,0.01403618463833896,0.012848370122060084,0.8710870367666765,1.1102230246251565e-16
f2o01,locked_engineering_validation,constant_fourier,validation,all,921,0.08239427980310203,0.009458422635083905,0.008022258162976604,0.6649477324071733,-0.039613204716449246
f2o01,locked_engineering_validation,constant_fourier,validation,1,307,0.02374076141578322,0.008793831383971228,0.007091279523826983,0.4888562495870117,-0.07545511572145158
f2o01,locked_engineering_validation,constant_fourier,validation,2,307,0.011264250042522642,0.0060573400281547785,0.005464348880252162,0.7268492436470817,-0.014177938097213794
f2o01,locked_engineering_validation,constant_fourier,validation,3,307,0.04738926834479616,0.012424268091328326,0.011511146084850666,0.8493980204189419,-0.028571801153174148
f2o01,locked_engineering_validation,rate_shuffle_negative_control,identification,all,363,0.0442690645452774,0.011043248881319242,0.00964899800452581,0.6772581881375129,0.006614895404436605
f2o01,locked_engineering_validation,rate_shuffle_negative_control,identification,1,121,0.013473803741729632,0.010552428627176298,0.009254362082127604,0.5041234721002369,0.010066960819502646
f2o01,locked_engineering_validation,rate_shuffle_negative_control,identification,2,121,0.007079737383172366,0.007649197755791756,0.006872788627938625,0.765537063705616,0.004854608412064532
f2o01,locked_engineering_validation,rate_shuffle_negative_control,identification,3,121,0.02371552342037541,0.0139998593323439,0.012819843303511193,0.8688326846065854,0.00516925395663026
f2o01,locked_engineering_validation,rate_shuffle_negative_control,validation,all,921,0.08236324906261713,0.009456641385838014,0.007983652829833165,0.664822506701725,-0.03922167307569313
f2o01,locked_engineering_validation,rate_shuffle_negative_control,validation,1,307,0.024000003801415454,0.008841714095577456,0.0070623719498471614,0.49151808852771994,-0.08719878076054632
f2o01,locked_engineering_validation,rate_shuffle_negative_control,validation,2,307,0.011424111738272846,0.006100171337977343,0.005439702054291925,0.7319887776676655,-0.028571102698907724
f2o01,locked_engineering_validation,rate_shuffle_negative_control,validation,3,307,0.04693913352292883,0.01236512031483801,0.01144888448536041,0.845354321112572,-0.018801741376746284
